Designator,Mid X,Mid Y,Rotation,Layer
J1,85.0,-92.0,0.0,top
J2,85.0,-103.0,0.0,top
J3,85.0,-124.0,0.0,top
R1,125.975001,-129.0,0.0,top
R2,125.975001,-133.225001,0.0,top
U1,110.0,-115.0,0.0,top
U2,137.0,-110.0,270.0,top
